x1,y1,x2,y2,confidence,class
1115.72,398.289,1480.37,619.656,0.924006,2
156.564,336.954,537.312,595.779,0.910411,2
754.461,312.205,1009.47,816.466,0.869735,0
536.192,278.248,802.798,830.743,0.835379,0
1007.76,367.536,1225.01,535.059,0.762898,2
79.856,275.595,171.49,545.928,0.733564,0
1419.91,324.823,1458.65,459.495,0.687581,0
465.132,349.008,592.779,522.223,0.65194,2
1361.81,321.863,1409.8,423.091,0.627873,0
306.413,291.577,364.314,348.422,0.610661,0
972.473,348.309,1144.51,481.302,0.538835,2
935.919,353.256,1022.58,454.142,0.514193,2
881.317,353.174,944.201,431.8,0.35119,2
